Data,Valor
04/07/2018,2211.56
05/07/2018,2209.89
06/07/2018,2195.05
07/07/2018,2161.65
08/07/2018,2142.99
09/07/2018,
10/07/2018,
11/07/2018,2139.1
12/07/2018,2136.04
13/07/2018,2127.6
14/07/2018,2118.5
15/07/2018,2106.21
16/07/2018,
17/07/2018,
18/07/2018,2090.17
19/07/2018,2085.24
20/07/2018,2089.3
21/07/2018,2091.36
22/07/2018,2094.5
23/07/2018,
24/07/2018,
25/07/2018,2093.83
26/07/2018,2101.82
27/07/2018,2109.27
28/07/2018,2110.91
29/07/2018,2125.22
30/07/2018,
31/07/2018,
01/08/2018,2148.86
02/08/2018,2150.58
03/08/2018,2154.22
04/08/2018,
05/08/2018,
06/08/2018,2154.62
07/08/2018,2152.16
08/08/2018,2152.59
09/08/2018,2152.58
10/08/2018,2143.81
11/08/2018,
12/08/2018,
13/08/2018,2139.4
14/08/2018,2145.1
15/08/2018,2140.86
16/08/2018,2152.39
17/08/2018,2149.2
18/08/2018,
19/08/2018,
20/08/2018,2142.42
21/08/2018,2144.55
22/08/2018,2142.26
23/08/2018,2131.27
24/08/2018,2131.18
25/08/2018,
26/08/2018,
27/08/2018,2134.77
28/08/2018,2136.4
29/08/2018,2134.69
30/08/2018,2136.19
31/08/2018,2139.4
01/09/2018,
02/09/2018,
03/09/2018,2135.48
04/09/2018,2135.25
05/09/2018,2135.83
06/09/2018,2135.76
07/09/2018,
08/09/2018,
09/09/2018,
10/09/2018,2131.94
11/09/2018,2126.87
12/09/2018,2134.4
13/09/2018,2137.97
14/09/2018,2132.52
15/09/2018,
16/09/2018,
17/09/2018,2134.08
18/09/2018,2137.17
19/09/2018,2141.61
20/09/2018,2142.51
21/09/2018,2141.8
22/09/2018,
23/09/2018,
24/09/2018,2141.55
25/09/2018,2135.01
26/09/2018,2129.03
27/09/2018,2128.83
28/09/2018,2134.81
29/09/2018,
30/09/2018,
01/10/2018,2128.39
02/10/2018,2133.45
03/10/2018,2145.82
04/10/2018,2141.89
05/10/2018,2153.11
06/10/2018,
07/10/2018,
08/10/2018,2159.51
09/10/2018,2172.49
10/10/2018,2174.2
11/10/2018,2176.07
12/10/2018,
13/10/2018,
14/10/2018,
15/10/2018,2188.26
16/10/2018,2187.12
17/10/2018,2189.14
18/10/2018,2188.43
19/10/2018,2192.19
20/10/2018,
21/10/2018,
22/10/2018,2200.88
23/10/2018,2206.57
24/10/2018,2207.34
25/10/2018,2213.86
26/10/2018,2220.24
27/10/2018,
28/10/2018,
29/10/2018,2223.38
30/10/2018,2233.99
31/10/2018,2242.45
01/11/2018,2250.63
02/11/2018,
03/11/2018,
04/11/2018,
05/11/2018,2251.56
06/11/2018,2249.32
07/11/2018,2253.28
08/11/2018,2253.85
09/11/2018,2260.28
10/11/2018,
11/11/2018,
12/11/2018,2262.11
13/11/2018,2259.91
14/11/2018,2272.16
15/11/2018,
16/11/2018,2277.63
17/11/2018,
18/11/2018,
19/11/2018,2283.02
20/11/2018,
21/11/2018,2279.64
22/11/2018,2283.03
23/11/2018,2283.67
24/11/2018,
25/11/2018,
26/11/2018,2288.07
27/11/2018,2287.26
28/11/2018,2290.54
29/11/2018,2300.05
30/11/2018,2300.48
01/12/2018,
02/12/2018,
03/12/2018,2302.1
04/12/2018,2293.69
05/12/2018,2294.96
06/12/2018,2294.61
07/12/2018,2296.03
08/12/2018,
09/12/2018,
10/12/2018,2295.93
11/12/2018,2298.56
12/12/2018,2293.65
13/12/2018,2299.15
14/12/2018,2305.39
15/12/2018,
16/12/2018,
17/12/2018,2305.49
18/12/2018,2310.14
19/12/2018,2310.03
20/12/2018,2311.48
21/12/2018,2330.08
22/12/2018,
23/12/2018,
24/12/2018,
25/12/2018,
26/12/2018,2332.14
27/12/2018,2344.94
28/12/2018,2351.59
29/12/2018,
30/12/2018,
31/12/2018,
01/01/2019,
02/01/2019,2367.76
03/01/2019,2379.19
04/01/2019,2385.1
05/01/2019,
06/01/2019,
07/01/2019,2389.3
08/01/2019,2390.14
09/01/2019,2392.57
10/01/2019,2387.98
11/01/2019,2388.43
12/01/2019,
13/01/2019,
14/01/2019,2388.03
15/01/2019,2386.35
16/01/2019,2390.77
17/01/2019,2390.51
18/01/2019,2398.21
19/01/2019,
20/01/2019,
21/01/2019,2396.42
22/01/2019,2395.49
23/01/2019,2390.37
24/01/2019,2387.99
25/01/2019,
26/01/2019,
27/01/2019,
28/01/2019,2380.57
29/01/2019,2392.97
30/01/2019,2398.05
31/01/2019,2409.69
01/02/2019,2407.87
02/02/2019,
03/02/2019,
04/02/2019,2405.57
05/02/2019,2404.14
06/02/2019,2398.71
07/02/2019,2400.83
08/02/2019,2402.61
09/02/2019,
10/02/2019,
11/02/2019,2405.91
12/02/2019,2403.81
13/02/2019,2403.97
14/02/2019,2404.01
15/02/2019,2406.91
16/02/2019,
17/02/2019,
18/02/2019,2413.49
19/02/2019,2413.19
20/02/2019,2418.27
21/02/2019,2409.82
22/02/2019,2413.9
23/02/2019,
24/02/2019,
25/02/2019,2403.94
26/02/2019,2409.46
27/02/2019,2420.88
28/02/2019,2434.56
01/03/2019,2444.36
02/03/2019,
03/03/2019,
04/03/2019,
05/03/2019,
06/03/2019,2451.69
07/03/2019,2457.1
08/03/2019,2460.08
09/03/2019,
10/03/2019,
11/03/2019,2463.5
12/03/2019,2464.68
13/03/2019,2464.92
14/03/2019,2471.01
15/03/2019,2482.77
16/03/2019,
17/03/2019,
18/03/2019,2485.35
19/03/2019,2480.17
20/03/2019,2483.05
21/03/2019,2481.89
22/03/2019,2471.35
23/03/2019,
24/03/2019,
25/03/2019,2473.97
26/03/2019,2480.79
27/03/2019,2474
28/03/2019,2476.55
29/03/2019,2482.93
30/03/2019,
31/03/2019,
01/04/2019,2481.83
02/04/2019,2482.52
03/04/2019,2486.19
04/04/2019,2485.93
05/04/2019,2484.62
06/04/2019,
07/04/2019,
08/04/2019,2480.4
09/04/2019,2481.74
10/04/2019,2481.79
11/04/2019,2486.53
12/04/2019,2483.05
13/04/2019,
14/04/2019,
15/04/2019,2487.86
16/04/2019,2483.87
17/04/2019,2486.97
18/04/2019,2492.38
19/04/2019,
20/04/2019,
21/04/2019,
22/04/2019,2491.7
23/04/2019,2493.87
24/04/2019,2492.85
25/04/2019,2491.3
26/04/2019,2498.02
27/04/2019,
28/04/2019,
29/04/2019,2498.43
30/04/2019,2508.45
01/05/2019,
02/05/2019,2503.68
03/05/2019,2505.47
04/05/2019,
05/05/2019,
06/05/2019,2496.26
07/05/2019,2496.06
08/05/2019,2496.46
09/05/2019,2493.3
10/05/2019,2491.99
11/05/2019,
12/05/2019,
13/05/2019,2484.23
14/05/2019,2488.87
15/05/2019,2491.04
16/05/2019,2496.88
17/05/2019,2497.36
18/05/2019,
19/05/2019,
20/05/2019,2497.66
21/05/2019,2503.36
22/05/2019,2509.97
23/05/2019,2510.46
24/05/2019,2517.57
25/05/2019,
26/05/2019,
27/05/2019,2519.2
28/05/2019,2522.48
29/05/2019,2528.64
30/05/2019,2543.76
31/05/2019,2552.69
01/06/2019,
02/06/2019,
03/06/2019,2557
04/06/2019,2557.3
05/06/2019,2558.86
06/06/2019,2560.6
07/06/2019,2567.99
08/06/2019,
09/06/2019,
10/06/2019,2565.06
11/06/2019,2560.29
12/06/2019,2559.73
13/06/2019,2559.06
14/06/2019,2561.24
15/06/2019,
16/06/2019,
17/06/2019,2563.84
18/06/2019,2573.35
19/06/2019,2580.49
20/06/2019,
21/06/2019,2592.55
22/06/2019,
23/06/2019,
24/06/2019,2598.1
25/06/2019,2598.14
26/06/2019,2604.72
27/06/2019,2609.38
28/06/2019,2626.1
29/06/2019,
30/06/2019,
01/07/2019,2628.59
02/07/2019,2630.89
03/07/2019,2639.02
04/07/2019,2634.87
05/07/2019,2641.22
06/07/2019,
07/07/2019,
08/07/2019,2637.88
09/07/2019,
10/07/2019,2628.66
11/07/2019,2625.4
12/07/2019,2624.18
13/07/2019,
14/07/2019,
15/07/2019,2620.09
16/07/2019,2623.53
17/07/2019,2628.5
18/07/2019,2628.92
19/07/2019,2624.71
20/07/2019,
21/07/2019,
22/07/2019,2621.86
23/07/2019,2626.85
24/07/2019,2628.58
25/07/2019,2625.78
26/07/2019,2633.75
27/07/2019,
